1.0	777.787759066	35	17	0.702181714311	0.0123542562397	2.22222222222	0.0445853485971	98.7368426825
2.0	1215.71692491	34	32	0.728915644734	0.0238417660539	6.66666666667	0.0331727630753	98.9052628216
3.0	1591.42458606	66	78	0.270612730783	0.273569203745	20.0	0.0249630791674	99.3157894988
4.0	1967.92794204	66	78	0.270612730783	0.273569203745	60.0	0.0234016558695	99.4736847125
5.0	2487.01496792	66	78	0.270612730783	0.273569203745	60.0	0.0234016558695	99.4736847125
6.0	2864.3894031	67	49	0.761762420698	0.070093282334	20.0	0.0229640793006	99.2315788018
7.0	3234.49979496	67	49	0.761762420698	0.070093282334	60.0	0.0216154028465	99.4421058579
9.0	4075.68395209	67	49	0.761762420698	0.070093282334	60.0	0.0216154028465	99.4421058579
11.0	4810.39309692	52	27	0.263348731087	0.0349186425963	60.0	0.0203298068801	99.4000001958
15.0	6307.23644209	49	44	0.235273737502	0.0435005734969	60	0.0198369023856	99.4315790503
