1	74.2695989609	71	43	0.5650403722	0.0177696150713	0.0417006127046
2	142.801147938	71	43	0.5650403722	0.0177696150713	0.0417006127046
3	207.717984915	71	43	0.5650403722	0.0177696150713	0.0417006127046
4	280.68671298	38	68	0.313466580519	0.312250951989	0.0293550245268
5	355.519125938	38	68	0.313466580519	0.312250951989	0.0293550245268
6	420.746156931	38	68	0.313466580519	0.312250951989	0.0293550245268
7	486.803312063	38	68	0.313466580519	0.312250951989	0.0293550245268
8	563.725477934	38	68	0.313466580519	0.312250951989	0.0293550245268
9	633.232683897	38	68	0.313466580519	0.312250951989	0.0293550245268
10	699.232253075	38	68	0.313466580519	0.312250951989	0.0293550245268
11	767.828620911	38	68	0.313466580519	0.312250951989	0.0293550245268
12	833.387914896	38	68	0.313466580519	0.312250951989	0.0293550245268
13	902.080877066	38	68	0.313466580519	0.312250951989	0.0293550245268
14	978.138099909	38	68	0.313466580519	0.312250951989	0.0293550245268
15	1054.86706209	38	68	0.313466580519	0.312250951989	0.0293550245268
