1.0	592.427031994	99	112	0.494238437664	0.306045669139	2.22222222222	0.0518878635607
2.0	790.377444029	93	77	0.648967096549	0.17135331229	6.66666666667	0.0448699969994
3.0	867.358386993	93	77	0.648967096549	0.17135331229	6.66666666667	0.0448699969994
4.0	939.146696806	93	77	0.648967096549	0.17135331229	60.0	0.0379549821005
5.0	1146.95891786	93	77	0.648967096549	0.17135331229	60.0	0.0379549821005
6.0	1234.07951593	93	77	0.648967096549	0.17135331229	60.0	0.0379549821005
7.0	1297.66758204	70	165	0.396152045989	0.279070349044	60.0	0.0309379205206
9.0	1501.27793002	70	165	0.396152045989	0.279070349044	60.0	0.0309379205206
11.0	1638.59753704	58	71	0.627029380889	0.0842501006187	60.0	0.0295336944982
15.0	1935.24864697	31	118	0.361330479301	0.215284472481	60	0.0286937366779
